Name,Fathers_name,Address,phone1,phone2,email,backlog,attendance,CGPA,skills,experience
James,Butt,6649 N Blue Gum St,504-621-8927,504-845-1427,jbutt@gmail.com,0,60,6,Web development,1
Josephine,Darakjy,4 B Blue Ridge Blvd,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,1,61,8,App development,2
Art,Venere,8 W Cerritos Ave #54,856-636-8749,856-264-4130,art@venere.org,2,71,7,Cyber security,3
Lenna,Paprocki,639 Main St,907-385-4412,907-921-2010,lpaprocki@hotmail.com,2,75,6.5,Cyber security,1
Donette,Foller,34 Center St,513-570-1893,513-549-4561,donette.foller@cox.net,1,60,8,Web development,2
Simona,Morasca,3 Mcauley Dr,419-503-2484,419-800-6759,simona@morasca.com,0,60,8.5,Cyber security,2
Mitsue,Tollner,7 Eads St,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,1,75,7,Web development,1
Leota,Dilliard,7 W Jackson Blvd,408-752-3500,408-813-1105,leota@hotmail.com,2,63,7.5,Web development,1
Sage,Wieser,5 Boston Ave #88,605-414-2147,605-794-4895,sage_wieser@cox.net,0,61,6.5,App development,2
Kris,Marrier,228 Runamuck Pl #2808,410-655-8723,410-804-4694,kris@gmail.com,1,67,7.5,Cyber security,1
Minna,Amigon,2371 Jerrold Ave,215-874-1229,215-422-8694,minna_amigon@yahoo.com,2,62,8,Cyber security,2
Abel,Maclead,37275 St  Rt 17m M,631-335-3414,631-677-3675,amaclead@gmail.com,2,70,8,Web development,2
Kiley,Caldarera,25 E 75th St #69,310-498-5651,310-254-3084,kiley.caldarera@aol.com,1,65,8,App development,1
Graciela,Ruta,98 Connecticut Ave Nw,440-780-8425,440-579-7763,gruta@cox.net,0,61,7.5,Cyber security,2
Cammy,Albares,56 E Morehead St,956-537-6195,956-841-7216,calbares@gmail.com,1,63,6,Web development,3
Mattie,Poquette,73 State Road 434 E,602-277-4385,602-953-6360,mattie@aol.com,2,65,6.5,Cyber security,3
Meaghan,Garufi,69734 E Carrillo St,931-313-9635,931-235-7959,meaghan@hotmail.com,0,65,8.5,Web development,1
Gladys,Rim,322 New Horizon Blvd,414-661-9598,414-377-2880,gladys.rim@rim.org,0,62,8.5,App development,2
Yuki,Whobrey,1 State Route 27,313-288-7937,313-341-4470,yuki_whobrey@aol.com,0,64,6,App development,3
Fletcher,Flosi,394 Manchester Blvd,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com,0,64,6,Web development,2
Bette,Nicka,6 S 33rd St,610-545-3615,610-492-4643,bette_nicka@cox.net,2,63,8,App development,1
Veronika,Inouye,6 Greenleaf Ave,408-540-1785,408-813-4592,vinouye@aol.com,0,70,8,Cyber security,1
Willard,Kolmetz,618 W Yakima Ave,972-303-9197,972-896-4882,willard@hotmail.com,1,71,7,Web development,2
Maryann,Royster,74 S Westgate St,518-966-7987,518-448-8982,mroyster@royster.com,2,72,7,Web development,3
Alisha,Slusarski,3273 State St,732-658-3154,732-635-3453,alisha@slusarski.com,0,73,8.5,Cyber security,3
Allene,Iturbide,1 Central Ave,715-662-6764,715-530-9863,allene_iturbide@cox.net,1,74,7.5,Cyber security,2
Chanel,Caudy,86 Nw 66th St #8673,913-388-2079,913-899-1103,chanel.caudy@caudy.org,2,72,7.5,App development,1
Ezekiel,Chui,2 Cedar Ave #84,410-669-1642,410-235-8738,ezekiel@chui.com,1,71,6.5,Web development,2
Willow,Kusko,90991 Thorburn Ave,212-582-4976,212-934-5167,wkusko@yahoo.com,2,70,6,App development,3
Bernardo,Figeroa,386 9th Ave N,936-336-3951,936-597-3614,bfigeroa@aol.com,2,69,6,Web development,1
Ammie,Corrio,74874 Atlantic Ave,614-801-9788,614-648-3265,ammie@corrio.com,1,68,6,App development,2
Francine,Vocelka,366 South Dr,505-977-3911,505-335-5293,francine_vocelka@vocelka.com,2,67,6,App development,3
Ernie,Stenseth,45 E Liberty St,201-709-6245,201-387-9093,ernie_stenseth@aol.com,2,63,7,Web development,3
Albina,Glick,4 Ralph Ct,732-924-7882,732-782-6701,albina@glick.com,2,64,8,Cyber security,2
Alishia,Sergi,2742 Distribution Way,212-860-1579,212-753-2740,asergi@gmail.com,1,65,7,Cyber security,1
Solange,Shinko,426 Wolf St,504-979-9175,504-265-8174,solange@shinko.com,1,67,8,Cyber security,1
Jose,Stockham,128 Bransten Rd,212-675-8570,212-569-4233,jose@yahoo.com,1,69,7,Web development,2
Rozella,Ostrosky,17 Morena Blvd,805-832-6163,805-609-1531,rozella.ostrosky@ostrosky.com,1,68,7,App development,3
Valentine,Gillian,775 W 17th St,210-812-9597,210-300-6244,valentine_gillian@gmail.com,1,62,6,Cyber security,3
Kati,Rulapaugh,6980 Dorsett Rd,785-463-7829,785-219-7724,kati.rulapaugh@hotmail.com,1,65,6.5,Cyber security,2
Youlanda,Schemmer,2881 Lewis Rd,541-548-8197,541-993-2611,youlanda@aol.com,2,75,6,Web development,1
Dyan,Oldroyd,7219 Woodfield Rd,913-413-4604,913-645-8918,doldroyd@aol.com,2,75,6,Cyber security,1
Roxane,Campain,1048 Main St,907-231-4722,907-335-6568,roxane@hotmail.com,2,74,7.5,Web development,3
Lavera,Perin,678 3rd Ave,305-606-7291,305-995-2078,lperin@perin.org,0,73,7.5,Web development,3
Erick,Ferencz,20 S Babcock St,907-741-1044,907-227-6777,erick.ferencz@aol.com,0,74,8.5,App development,3
Fatima,Saylors,2 Lighthouse Ave,952-768-2416,952-479-2375,fsaylors@saylors.org,0,73,8,Cyber security,2
Jina,Briddick,38938 Park Blvd,617-399-5124,617-997-5771,jina_briddick@briddick.com,0,74,8,Cyber security,1
Kanisha,Waycott,5 Tomahawk Dr,323-453-2780,323-315-7314,kanisha_waycott@yahoo.com,0,73,8,Web development,2
Emerson,Bowley,762 S Main St,608-336-7444,608-658-7940,emerson.bowley@bowley.org,1,74,8.5,App development,3
Blair,Malet,209 Decker Dr,215-907-9111,215-794-4519,bmalet@yahoo.com,1,75,6,Cyber security,3
Brock,Bolognia,4486 W O St #1,212-402-9216,212-617-5063,bbolognia@yahoo.com,2,72,7,Web development,3
Lorrie,Nestle,39 S 7th St,931-875-6644,931-303-6041,lnestle@hotmail.com,1,65,6,Cyber security,2
Sabra,Uyetake,98839 Hawthorne Blvd #6101,803-925-5213,803-681-3678,sabra@uyetake.org,2,64,8,Web development,1
Marjory,Mastella,71 San Mateo Ave,610-814-5533,610-379-7125,mmastella@mastella.com,1,62,7,App development,3
Karl,Klonowski,76 Brooks St #9,908-877-6135,908-470-4661,karl_klonowski@yahoo.com,2,61,6.5,App development,2
Tonette,Wenner,4545 Courthouse Rd,516-968-6051,516-333-4861,twenner@aol.com,1,63,8,Web development,1
Amber,Monarrez,14288 Foster Ave #4121,215-934-8655,215-329-6386,amber_monarrez@monarrez.org,2,61,8.5,App development,2
Shenika,Seewald,4 Otis St,818-423-4007,818-749-8650,shenika@gmail.com,2,60,7,Cyber security,1
Delmy,Ahle,65895 S 16th St,401-458-2547,401-559-8961,delmy.ahle@hotmail.com,2,61,7.5,Web development,2
Deeanna,Juhas,14302 Pennsylvania Ave,215-211-9589,215-417-9563,deeanna_juhas@gmail.com,0,71,6.5,Web development,3
Blondell,Pugh,201 Hawk Ct,401-960-8259,401-300-8122,bpugh@aol.com,0,75,7.5,Cyber security,1
Jamal,Vanausdal,53075 Sw 152nd Ter #615,732-234-1546,732-904-2931,jamal@vanausdal.org,0,60,8,Cyber security,2
Cecily,Hollack,59 N Groesbeck Hwy,512-486-3817,512-861-3814,cecily@hollack.org,1,60,8,App development,2
Carmelina,Lindall,2664 Lewis Rd,303-724-7371,303-874-5160,carmelina_lindall@lindall.com,1,75,8,Web development,1
Maurine,Yglesias,59 Shady Ln #53,414-748-1374,414-573-7719,maurine_yglesias@yglesias.com,1,63,7.5,App development,1
Tawna,Buvens,3305 Nabell Ave #679,212-674-9610,212-462-9157,tawna@gmail.com,1,61,6,Web development,2
Penney,Weight,18 Fountain St,907-797-9628,907-873-2882,penney_weight@aol.com,1,67,6.5,App development,1
Elly,Morocco,7 W 32nd St,814-393-5571,814-420-3553,elly_morocco@gmail.com,2,62,8.5,App development,2
Ilene,Eroman,2853 S Central Expy,410-914-9018,410-937-4543,ilene.eroman@hotmail.com,2,70,8.5,Web development,2
Vallie,Mondella,74 W College St,208-862-5339,208-737-8439,vmondella@mondella.com,2,65,6,Cyber security,1
Kallie,Blackwood,701 S Harrison Rd,415-315-2761,415-604-7609,kallie.blackwood@gmail.com,2,61,6,Cyber security,2
Johnetta,Abdallah,1088 Pinehurst St,919-225-9345,919-715-3791,johnetta_abdallah@aol.com,2,63,8,Cyber security,3
Bobbye,Rhym,30 W 80th St #1995,650-528-5783,650-811-9032,brhym@rhym.com,1,65,8,Web development,3
Micaela,Rhymes,20932 Hedley St,925-647-3298,925-522-7798,micaela_rhymes@gmail.com,1,65,7,App development,1
Tamar,Hoogland,2737 Pistorio Rd #9230,740-343-8575,740-526-5410,tamar@hotmail.com,1,62,7,Cyber security,2
Moon,Parlato,74989 Brandon St,585-866-8313,585-498-4278,moon@yahoo.com,1,64,8.5,Cyber security,3
Laurel,Reitler,6 Kains Ave,410-520-4832,410-957-6903,laurel_reitler@reitler.com,1,64,7.5,Web development,2
Delisa,Crupi,47565 W Grand Ave,973-354-2040,973-847-9611,delisa.crupi@crupi.com,1,63,7.5,Cyber security,1
Viva,Toelkes,4284 Dorigo Ln,773-446-5569,773-352-3437,viva.toelkes@gmail.com,1,70,6.5,Web development,1
Elza,Lipke,6794 Lake Dr E,973-927-3447,973-796-3667,elza@yahoo.com,2,71,6,Web development,2
Devorah,Chickering,31 Douglas Blvd #950,505-975-8559,505-950-1763,devorah@hotmail.com,2,72,6,App development,3
Timothy,Mulqueen,44 W 4th St,718-332-6527,718-654-7063,timothy_mulqueen@mulqueen.org,2,73,6,Cyber security,3
